For M5|Adr     1|TO  MR1-942U.DAT               |                      |                      |                      | 
For M5|Adr     2|TO  220722 MARWAN              |                      |                      |                      | 
For M5|Adr     3|TO  748188  72263 72270 1112   |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line       BFFB    3L|                      |                      |                      | 
For M5|Adr     3|KD1      MR1                 3L|                      |                      |Z       100.00000 m   | 
For M5|Adr     4|KD1      MR1      34.0 C  3  3L|Rb        1.71688 m   |HD          5.411 m   |                      | 
For M5|Adr     5|KD1    300DA      34.0 C  3  3L|Rf        1.06582 m   |HD          5.379 m   |                      | 
For M5|Adr     6|KD1    300DA      35.0 C  3  3L|Rf        1.10510 m   |HD          5.385 m   |                      | 
For M5|Adr     7|KD1      MR1      35.0 C  3  3L|Rb        1.75616 m   |HD          5.403 m   |                      | 
For M5|Adr     8|KD1    300DA      35.0 C     3L|                      |                      |Z       100.65106 m   | 
For M5|Adr    21|KD1    300DA      34.0 C  3  3L|Rb        1.80086 m   |HD          7.332 m   |                      | 
For M5|Adr    22|KD1    301DA      34.0 C  3  3L|Rf        0.95985 m   |HD          7.303 m   |                      | 
For M5|Adr    23|KD1    301DA      34.0 C  3  3L|Rf        0.90530 m   |HD          7.328 m   |                      | 
For M5|Adr    24|KD1    300DA      34.0 C  3  3L|Rb        1.74635 m   |HD          7.290 m   |                      | 
For M5|Adr    25|KD1    301DA      34.0 C     3L|                      |                      |Z       101.49209 m   | 
For M5|Adr    26|KD1    301DA      34.0 C  3  3L|Rb        1.89099 m   |HD         10.188 m   |                      | 
For M5|Adr    29|KD1    302DA      34.0 C  3  3L|Rf        0.67481 m   |HD          9.619 m   |                      | 
For M5|Adr    30|KD1    302DA      34.0 C  3  3L|Rf        0.63106 m   |HD          9.621 m   |                      | 
For M5|Adr    31|KD1    301DA      33.0 C  3  3L|Rb        1.84728 m   |HD         10.186 m   |                      | 
For M5|Adr    32|KD1    302DA      33.0 C     3L|                      |                      |Z       102.70829 m   | 
For M5|Adr    33|KD1    302DA      33.0 C  3  3L|Rb        1.86664 m   |HD          7.061 m   |                      | 
For M5|Adr    36|KD1    303DA      33.0 C  3  3L|Rf        0.80635 m   |HD          7.309 m   |                      | 
For M5|Adr    37|KD1    303DA      33.0 C  3  3L|Rf        0.83842 m   |HD          7.318 m   |                      | 
For M5|Adr    38|KD1    302DA      34.0 C  3  3L|Rb        1.89873 m   |HD          7.042 m   |                      | 
For M5|Adr    39|KD1    303DA      34.0 C     3L|                      |                      |Z       103.76859 m   | 
For M5|Adr    40|KD1    303DA      34.0 C  3  3L|Rb        1.77814 m   |HD          6.010 m   |                      | 
For M5|Adr    41|KD1    304DA      34.0 C  3  3L|Rf        0.97016 m   |HD          5.576 m   |                      | 
For M5|Adr    42|KD1    304DA      34.0 C  3  3L|Rf        1.04334 m   |HD          5.619 m   |                      | 
For M5|Adr    43|KD1    303DA      34.0 C  3  3L|Rb        1.85122 m   |HD          5.961 m   |                      | 
For M5|Adr    44|KD1    304DA      34.0 C     3L|                      |                      |Z       104.57652 m   | 
For M5|Adr    45|KD1    304DA      34.0 C  3  3L|Rb        1.67348 m   |HD          7.197 m   |                      | 
For M5|Adr    46|KD1    305DA      33.0 C  3  3L|Rf        0.62928 m   |HD          8.028 m   |                      | 
For M5|Adr    47|KD1    305DA      33.0 C  3  3L|Rf        0.66065 m   |HD          8.037 m   |                      | 
For M5|Adr    48|KD1    304DA      33.0 C  3  3L|Rb        1.70490 m   |HD          7.198 m   |                      | 
For M5|Adr    49|KD1    305DA      33.0 C     3L|                      |                      |Z       105.62074 m   | 
For M5|Adr    50|KD1    305DA      33.0 C  3  3L|Rb        1.72110 m   |HD          8.822 m   |                      | 
For M5|Adr    51|KD1    306DA      33.0 C  3  3L|Rf        0.54508 m   |HD          8.904 m   |                      | 
For M5|Adr    52|KD1    306DA      33.0 C  3  3L|Rf        0.58686 m   |HD          8.899 m   |                      | 
For M5|Adr    53|KD1    305DA      33.0 C  3  3L|Rb        1.76291 m   |HD          8.829 m   |                      | 
For M5|Adr    54|KD1    306DA      33.0 C     3L|                      |                      |Z       106.79678 m   | 
For M5|Adr    55|KD1    306DA      33.0 C  3  3L|Rb        1.69603 m   |HD          4.127 m   |                      | 
For M5|Adr    56|KD1    307DA      33.0 C  3  3L|Rf        0.85803 m   |HD          5.248 m   |                      | 
For M5|Adr    57|KD1    307DA      33.0 C  3  3L|Rf        0.90114 m   |HD          5.250 m   |                      | 
For M5|Adr    58|KD1    306DA      33.0 C  3  3L|Rb        1.73916 m   |HD          4.126 m   |                      | 
For M5|Adr    59|KD1    307DA      33.0 C     3L|                      |                      |Z       107.63479 m   | 
For M5|Adr    60|KD1    307DA      33.0 C  3  3L|Rb        1.70539 m   |HD          3.098 m   |                      | 
For M5|Adr    61|KD1    308DA      33.0 C  3  3L|Rf        1.01848 m   |HD          3.056 m   |                      | 
For M5|Adr    62|KD1    308DA      33.0 C  3  3L|Rf        1.05594 m   |HD          3.068 m   |                      | 
For M5|Adr    63|KD1    307DA      33.0 C  3  3L|Rb        1.74285 m   |HD          3.082 m   |                      | 
For M5|Adr    64|KD1    308DA      33.0 C     3L|                      |                      |Z       108.32170 m   | 
For M5|Adr    65|KD1    308DA      34.0 C  3  3L|Rb        1.77294 m   |HD          2.924 m   |                      | 
For M5|Adr    66|KD1    309DA      34.0 C  3  3L|Rf        0.83651 m   |HD          3.404 m   |                      | 
For M5|Adr    67|KD1    309DA      34.0 C  3  3L|Rf        0.87277 m   |HD          3.405 m   |                      | 
For M5|Adr    68|KD1    308DA      34.0 C  3  3L|Rb        1.80921 m   |HD          2.919 m   |                      | 
For M5|Adr    69|KD1    309DA      34.0 C     3L|                      |                      |Z       109.25814 m   | 
For M5|Adr    70|KD1    309DA      34.0 C  3  3L|Rb        1.76112 m   |HD          2.435 m   |                      | 
For M5|Adr    71|KD1    310DA      34.0 C  3  3L|Rf        0.77843 m   |HD          2.965 m   |                      | 
For M5|Adr    72|KD1    310DA      34.0 C  3  3L|Rf        0.81336 m   |HD          2.985 m   |                      | 
For M5|Adr    73|KD1    309DA      34.0 C  3  3L|Rb        1.79611 m   |HD          2.418 m   |                      | 
For M5|Adr    74|KD1    310DA      34.0 C     3L|                      |                      |Z       110.24086 m   | 
