For M5|Adr     1|TO  iav9.dat                   |                      |                      |                      | 
For M5|Adr     2|TO  201119G                    |                      |                      |                      | 
For M5|Adr     3|TO  731267 31 100 1111         |                      |                      |                      | 
For M5|Adr     4|TO  Start-Line         BF     1|                      |                      |                      | 
For M5|Adr     5|KD1    1272b                  1|                      |                      |Z         0.00000 m   | 
For M5|Adr     6|KD1    1272b      22.0 C  1   1|Rb        1.00036 m   |HD         10.135 m   |                      | 
For M5|Adr     7|KD1        1      22.0 C  1   1|Rf        1.37730 m   |HD         13.446 m   |                      | 
For M5|Adr     8|KD1        1      22.0 C      1|                      |                      |Z        -0.37694 m   | 
For M5|Adr     9|KD1        1      23.0 C  1   1|Rb        1.75236 m   |HD         27.608 m   |                      | 
For M5|Adr    10|KD1        2      23.0 C  1   1|Rf        1.46145 m   |HD         26.467 m   |                      | 
For M5|Adr    11|KD1        2      23.0 C      1|                      |                      |Z        -0.08603 m   | 
For M5|Adr    12|KD1        2      23.0 C  1   1|Rb        1.67925 m   |HD         41.024 m   |                      | 
For M5|Adr    13|KD1        3      23.0 C  1   1|Rf        1.35588 m   |HD         40.760 m   |                      | 
For M5|Adr    14|KD1        3      23.0 C      1|                      |                      |Z         0.23734 m   | 
For M5|Adr    15|KD1        3      23.0 C  1   1|Rb        1.38165 m   |HD         33.770 m   |                      | 
For M5|Adr    16|KD1        4      24.0 C  1   1|Rf        1.78799 m   |HD         34.157 m   |                      | 
For M5|Adr    17|KD1        4      24.0 C      1|                      |                      |Z        -0.16900 m   | 
For M5|Adr    18|KD1        4      24.0 C  1   1|Rb        1.40610 m   |HD         32.879 m   |                      | 
For M5|Adr    19|KD1        5      24.0 C  1   1|Rf        1.90316 m   |HD         35.767 m   |                      | 
For M5|Adr    20|KD1        5      24.0 C      1|                      |                      |Z        -0.66606 m   | 
For M5|Adr    21|KD1        5      24.0 C  1   1|Rb        1.59967 m   |HD         35.194 m   |                      | 
For M5|Adr    22|KD1        6      24.0 C  1   1|Rf        1.56782 m   |HD         29.272 m   |                      | 
For M5|Adr    23|KD1        6      24.0 C      1|                      |                      |Z        -0.63421 m   | 
For M5|Adr    24|KD1        6      24.0 C  1   1|Rb        1.36970 m   |HD         34.233 m   |                      | 
For M5|Adr    25|KD1        7      24.0 C  1   1|Rf        1.67430 m   |HD         32.390 m   |                      | 
