OBJECTID,code,X,Y,grav
1,556,35.0276686,32.78826871,979588.3125
2,616,34.96177581,32.76430476,979613.375
3,655,34.94598472,32.71088209,979607.375
4,674,34.97183652,32.71451998,979593.875
5,889,34.96621811,32.69460443,979594.3125
6,927,34.96029696,32.66273384,
7,1140,34.92689213,32.59100875,979585.6875
8,1303,34.93647524,32.64374995,979596.25
9,15966,35.39704367,31.46977367,979448.9375
10,16902,35.35782822,32.64464912,979528.0625
11,19022,34.94765704,32.71646285,979609.8125
12,19032,34.95048109,32.74130167,979614.375
13,19042,34.95369083,32.76505826,979619.125
14,20049,34.9987323,32.79934582,979590.25
15,20297,35.20622331,31.78504267,979320.125
16,20434,34.80508842,30.63388764,979185.9375
17,20550,34.74640071,32.03982078,979486.75
18,20615,35.0278897,31.0567071,979272.6875
19,20634,35.3902997,31.81379552,979453.8125
20,20636,35.38119623,32.08858947,979420
21,20671,34.38645082,30.90629035,979326.75
22,20689,35.0894828,31.25777794,979309.9375
23,20812,35.55504204,32.62015673,979555.1875
24,20813,35.53974556,32.7152248,979547.125
25,20824,35.21834525,30.69615347,979350.5
26,20832,35.18845538,30.56605732,979324.3125
27,21469,35.18069419,30.51555122,979313.375
28,21470,35.26514026,30.87285982,979376.1875
29,21471,35.22834668,30.74641856,979360.375
30,21472,35.18411169,30.54024429,979319
31,21479,35.21536983,30.67189393,979345.5
32,21553,35.16050552,31.77016788,979349.8125
33,22086,35.28983145,31.18491335,979347.3125
34,22087,35.32049263,31.16629119,979355.0625
35,22091,35.29055243,30.92639107,979378.5
36,22092,35.33425421,31.15620293,979375.0625
37,22101,35.2591078,31.20402158,979339
38,22102,35.3579421,31.13854489,979400
39,22103,35.16750192,31.03924598,979288.25
40,22104,35.25906534,31.00548314,979314.6875
41,22108,35.13420631,32.82185451,979586.9375
42,22117,34.93835075,32.57036115,979575.9375
43,22178,34.96548108,32.20757801,979522.875
44,22203,34.72917974,31.45725047,979390.1875
45,25908,35.49423453,31.79683086,979511.8125
46,26047,35.2421446,31.02809602,979286.1875
47,26084,35.46331969,31.74164883,979516.8125
48,26085,35.3963854,31.5108314,979458.6875
49,26086,35.38127369,31.43656298,979446.9375
50,26087,35.38296928,31.30827857,979419.9375
51,26088,35.36144947,31.24816691,979418.75
52,26089,35.36713814,31.18105346,979414.0625
53,26091,34.94419479,31.35939011,979332.9375
54,26093,34.79796907,31.37261398,979373.875
55,26095,35.04474261,31.47753743,979280.875
56,26096,34.76614552,31.55472998,979422
57,26098,34.90818625,31.62046717,979396.6875
58,26099,34.94002737,31.67554911,979403.6875
59,26101,35.07610469,31.79891232,979369.125
60,26102,35.14631362,31.79859815,979358.4375
61,26106,35.70276475,33.23990818,979483.8125
62,26108,35.23992054,32.59092079,979544.375
63,26112,35.18805825,32.57936215,979535.75
64,26116,35.57184511,33.21483163,979534.875
65,26120,35.41714437,32.91611384,979515.8125
