code,type,name,group,rank,Y,X,H,phi,lambda
616,main,32PU,7,3,196718.361,741102.237,22.621,32.7643047583452,34.9617758119687
655,main,34PU,7,2,195224.247,735181.078,11.879,32.71088209074,34.9459847243649
674,main,35PU,7,1,197648.953,735578.912,41.687,32.7145199828218,34.9718365204108
889,main,46PU,7,1,197117.241,733371.428,29.416,32.6946044344737,34.9662181108886
927,main,48PU,7,3,196553.853,729838.225,26.368,32.6627338434257,34.9602969635611
1140,main,59PU,7,2,193399.417,721891.629,9.363,32.5910087466702,34.9268921309068
1303,main,68PU,7,3,194313.857,727738.297,22.153,32.6437499491439,34.9364752441931
15966,main,972W,7,4,237760.504,597541.414,-387.839,31.4697736651611,35.3970436734949
19022,main,1237K,7,2,195382.539,735799.61,24.814,32.7164628506987,34.9476570354654
19032,main,1238K,7,2,195653.902,738553.633,12.966,32.7413016669326,34.9504810933126
19042,main,1239K,7,NaN,195960.977,741187.567,NaN,32.7650582599798,34.9536908336148
20049,main,1386W,7,3,200188.823,744981.037,223.05,32.7993458187185,34.9987322954408
20434,main,1522W,7,3,181171.323,504917.188,812.208,30.6338876430674,34.8050884174773
20615,main,1823W,7,3,202605.079,551739.826,551.012,31.0567070983486,35.0278897026138
20634,main,1850W,7,2,237054.659,635686.197,130.213,31.8137955182553,35.3902997032316
20689,main,1934W,7,3,208507.207,574025.567,465.602,31.2577779382152,35.089482804783
20824,main,2510W,7,2,220788.864,511752.419,-92.513,30.696153468506,35.2183452518707
20832,main,2533W,7,2,217923.169,497329.4,-18.578,30.5660573214547,35.1884553794802
21469,main,2537W,7,2,217177.423,491730.275,9.432,30.5155512198477,35.180694187182
21470,main,2535W,7,2,225261.512,531344.84,-176.102,30.8728598159582,35.265140260984
21471,main,2534W,7,2,221745.878,517325.273,-108.998,30.7464185643942,35.2283466824535
21472,main,2532W,7,2,217505.943,494467.752,-4.284,30.540244285738,35.1841116943246
21479,main,2516W,7,2,220504.062,509062.844,-73.444,30.6718939305525,35.2153698308097
22086,main,2595W,7,2,227596.175,565944.187,178.384,31.1849133504248,35.2898314514179
22087,main,2596W,7,2,230520.986,563882.137,78.57,31.1662911891777,35.3204926268208
22091,main,2605W,7,2,227687.142,537281.404,-217.893,30.9263910729658,35.2905524311971
22092,main,12U,7,2,231834.319,562765.072,-10.099,31.1562029302754,35.3342542100332
22101,main,2594W,7,2,224666.528,568060.941,284.817,31.2040215811411,35.2591078030705
22102,main,2597W,7,2,234095.662,560810.153,-290.542,31.138544886194,35.357942096123
22103,main,2601W,7,2,215930.276,549791.085,403.041,31.0392459840081,35.1675019200151
22104,main,573U,7,2,224673.338,546048.459,218.835,31.0054831384299,35.2590653415894
22108,main,6PU,7,3,212879.713,747460.758,41.588,32.8218545053341,35.1342063111055
22117,main,65PU,7,1,194469.468,719599.085,28.694,32.5703611492044,34.9383507523838
22203,main,2691W,7,3,174284.441,596234.529,219.126,31.4572504694578,34.72917973892
25908,main,1847W,7,4,246900.756,633826.604,-339.513,31.7968308619809,35.4942345250331
26047,main,2603W,7,2,223056.556,548554.902,391.668,31.0280960163369,35.2421446020862
26084,main,2U,7,4,243987.602,627700.377,-370.591,31.7416488294335,35.4633196904483
26085,main,6U,7,4,237689.976,602093.768,-378.544,31.5108314025009,35.396385397754
26086,main,7U,7,4,236267.748,593856.528,-385.463,31.4365629844772,35.3812736898226
26087,main,9U,7,4,236452.026,579632.937,-388.223,31.3082785729711,35.3829692791335
26088,main,10U,7,4,234412.892,572964.89,-375.414,31.2481669077122,35.3614494703281
26089,main,11U,7,4,234965.735,565524.491,-391.234,31.181053463616,35.3671381382324
26091,main,20U,7,2,194695.429,585315.488,426.686,31.3593901126397,34.9441947921733
26093,main,22U,7,3,180788.031,586823.847,283.722,31.3726139827828,34.7979690652477
26095,main,71U,7,2,204281.144,598397.214,819.677,31.4775374255504,35.0447426109687
26096,main,75U,7,3,177841.17,607028.542,170.075,31.5547299765074,34.7661455163785
26106,main,119U,7,NaN,265900.905,793934.108,444.276,33.2399081825113,35.7027647480552
26116,main,106U,7,3,253708.749,791102.314,144.771,33.2148316328134,35.5718451147398
26120,main,92U,7,1,239353.469,757932.339,298.031,32.9161138417421,35.4171443727218
26122,main,45U,7,3,249600.009,744583.291,-63.269,32.7955147165462,35.526246799395
26123,main,59U,7,1,253183.162,739525.229,-204.11,32.7498029841526,35.5643157031198
26126,main,63U,7,NaN,266781.782,742592.379,354.818,32.7769577396771,35.7095699756359
26127,main,64U,7,NaN,272023.096,746518.834,NaN,32.8121226480613,35.7657337399211
26129,main,122U,7,NaN,270562.973,774555.12,755.641,33.0649762291684,35.7516983396985
26130,main,118U,7,NaN,264015.929,794794.634,337.486,33.2477460636725,35.6825827829979
26133,main,50U,7,1,261422.333,750476.156,-190.753,32.8482606461139,35.6527238742899
26134,main,49U,7,1,260912.918,756543.852,-167.669,32.9029898336392,35.6475545031728
26135,main,130U,7,4,268185.986,765167.066,416.969,32.9804402454971,35.72574752504
26140,main,53U,7,1,255254.507,734457.907,-199.747,32.7040462602937,35.5862225024182
26143,main,60U,7,3,261621.472,732884.66,-34.684,32.6896354822028,35.6540528494654
26145,main,126U,7,3,279837.128,759144.407,637.164,32.9255564803508,35.8499902693619
26146,main,120U,7,3,267596.073,792673.8,710.191,33.2284711034981,35.7208856011862
26147,main,132U,7,4,273065.175,755854.017,459.6,32.896242205862,35.7774011336157
26148,main,100U,7,1,251036.969,756487.492,86.078,32.9028112323962,35.5419934862077
26152,main,72U,7,2,199762.811,593743.34,650.906,31.4354969253717,34.9972869508905
26157,main,51U,7,1,260662.327,744163.046,-172.468,32.7913663328631,35.6443249690113
26158,main,70U,7,2,207071.714,600129.877,809.254,31.4931972151396,35.0740871947355
26193,main,2607W,7,2,228853.749,564869.91,121.706,31.1752147502238,35.3030144810585
26228,main,73U,7,1,177417.234,594286.871,248.462,31.4398033550479,34.7622217743123
26230,main,107U,7,3,253638.588,796597.527,357.922,33.2643794013421,35.5712994396257
26231,main,124U,7,3,276442.497,750266.442,429.196,32.8456921323952,35.8131513557896
26233,main,4U,7,4,239364.421,615390.253,-353.17,31.6307200047553,35.4142808878099
26234,main,8U,7,4,236533.032,586235.482,-390.519,31.367825663927,35.3839332535617
26238,main,117U,7,NaN,261185.967,793622.567,164.824,33.2372917092835,35.6521629668513
26243,main,108U,7,3,252167.018,792066.216,535.703,33.2235700733938,35.5553427775389
26244,main,52U,7,1,259668.368,738436.263,-204.88,32.7397662030309,35.6334666347423
26246,main,115U,7,1,260496.326,782792.404,77.004,33.1396720556498,35.6442755658443
26247,main,62U,7,NaN,262360.326,738967.653,NaN,32.7444560144596,35.6622112994596
26249,main,123U,7,3,259879.91,769201.26,165.878,33.0171535138703,35.6370691009713
26250,main,121U,7,3,273502.831,784785.187,974.57,33.1570688007075,35.7837826762582
26251,main,46U,7,2,249205.626,750986.793,-197.161,32.8532644080484,35.5222420563084
