num,A,B,dH,dist,n,diff,date,calc_file,text_file,group,Original,month,year,codeA,typeA,nameA,groupA,rankA,codeB,typeB,nameB,groupB,rankB,Y1,X1,H1,Y2,X2,H2,dH_from_DB,dH_from_file,dH_diff,dist_from_DB,dist_from_file,dist_diff
1199,204U,351U,8.01157,884,16,0.75,899,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,204U 456A 801157 884 16 75 899 998.RAW,8,1999,29916,main,204U,7,3,29735,main,351U,7,2,181566.241,507907.305,762.914,181763.596,507128.398,770.926,8.012,8.01157,0.00043,804,884,80
1201,273U,277U,-9.31362,2925,60,-2.58,1099,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,273U 277U -931362 2925 60 -258 1099 998.RAW,10,1999,29846,main,273U,7,3,29850,main,277U,7,3,188847.575,498083.146,499.825,189214.319,500338.09,490.51,-9.315,-9.31362,0.00138,2285,2925,640
1202,273U,353U,-14.46965,3521,60,0.83,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,273U 459A -1446965 3521 60 83 1199 998.RAW,11,1999,29846,main,273U,7,3,29736,main,353U,7,2,188847.575,498083.146,499.825,191324.269,496474.854,485.357,-14.468,-14.46965,0.00165,2953,3521,568
1203,274U,275U,-142.90352,4405,96,-1.63,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,274U 275U -14290352 4405 96 -163 1199 998.RAW,11,1999,29847,main,274U,7,3,29848,main,275U,7,3,182550.758,503531.763,626.94,186210.02,502596.552,484.039,-142.901,-142.90352,0.00252,3777,4405,628
1204,275U,277U,6.46805,5023,96,0.88,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,275U 277U 646805 5023 96 88 1199 998.RAW,11,1999,29848,main,275U,7,3,29850,main,277U,7,3,186210.02,502596.552,484.039,189214.319,500338.09,490.51,6.471,6.46805,0.00295,3759,5023,1264
1205,276U,354U,25.76261,3019,78,0.01,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,276U 3466 2576261 3019 78 1 1299 998.RAW,12,1999,29849,main,276U,7,3,29773,main,354U,7,2,193443.329,492916.874,581.108,194680.013,490594.698,606.874,25.766,25.76261,0.00339,2631,3019,388
1206,278U,362U,-48.23574,4116,78,-2.18,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,278U 888 -4823574 4116 78 -218 1199 998.RAW,11,1999,29851,main,278U,7,3,29744,main,362U,7,2,197498.487,467591.245,367.507,196662.063,469837.134,319.266,-48.241,-48.23574,0.00526,2397,4116,1719
1207,303U,278U,106.24946,2996,66,2.66,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,303U 278U 10624946 2996 66 266 1199 998.RAW,11,1999,29810,main,303U,7,3,29851,main,278U,7,3,199732.761,466276.975,261.261,197498.487,467591.245,367.507,106.246,106.24946,0.00346,2592,2996,404
1209,360U,287U,-14.54961,2620,48,-2.52,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,465A 287U -1454961 2620 48 -252 01OO 998.RAW,1,2000,29737,main,360U,7,2,29791,main,287U,7,3,195281.193,476442.378,403.258,194654.501,478858.204,388.701,-14.557,-14.54961,0.00739,2496,2620,124
1210,360U,304U,-8.3255,2479,42,2.54,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,465A 304U -832550 2479 42 254 0100 998.RAW,1,2000,29737,main,360U,7,2,29813,main,304U,7,3,195281.193,476442.378,403.258,196162.69,474493.44,394.928,-8.33,-8.3255,0.0045,2139,2479,340
