num,A,B,dH,dist,n,diff,date,calc_file,text_file,group,Original,month,year,codeA,typeA,nameA,groupA,rankA,codeB,typeB,nameB,groupB,rankB,Y1,X1,H1,Y2,X2,H2,dH_from_DB,dH_from_file,dH_diff,dist_from_DB,dist_from_file,dist_diff,gA,gB,gG_A,gG_B,OC,dHO
1629,204U,350U,15.52380,1253,8,13.39,1199,102.FRM,lul244U-204U-219U.csv,other,204U 3458 155238 1253 8 1339 1199 102.FRM,11,1999,29916,main,204U,7,3,29772,main,350U,7,2,181566.241,507907.305,762.914,181131.865,508960.965,778.445,15.531,15.5238,0.0072,1140,1253,113,979185.9375,979188.1875,979218.2851,979221.1936,-0.002289086,15.52608909
1633,208U,207U,-16.56630,2356,14,-2.95,1199,102.FRM,lul244U-204U-219U.csv,other,208U 207U -165663 2356 14 -295 1199 102.FRM,11,1999,29920,main,208U,7,3,29919,main,207U,7,3,175231.997,502485.875,806.255,176795.925,504200.122,789.698,-16.557,-16.5663,0.0093,2320,2356,36,979175.5,979173.875,979209.6852,979207.3582,0.001896323,-16.56819632
1634,209U,208U,-18.29530,2432,14,-15.15,1199,102.FRM,lul244U-204U-219U.csv,other,209U 208U -182953 2432 14 -1515 1199 102.FRM,11,1999,29921,main,209U,7,3,29920,main,208U,7,3,173218.691,501163.933,824.534,175231.997,502485.875,806.255,-18.279,-18.2953,0.0163,2409,2432,23,979182.6875,979175.5,979217.6477,979209.6852,0.006630386,-18.30193039
1718,350U,349U,-0.77790,2582,15,1.99,1199,102.FRM,lul244U-204U-219U.csv,other,3458 3457 -7779 2582 15 199 1199 102.FRM,11,1999,29772,main,350U,7,2,29771,main,349U,7,2,181131.865,508960.965,778.445,179809.966,511039.118,777.668,-0.777,-0.7779,0.0009,2463,2582,119,979188.1875,979196.0625,979221.1936,979229.0356,-0.006230982,-0.771669018
1571,377U,80bn,-7.62696,700,11,-1.02,761,441,K49F-81BN.01.csv,other,15F 80BN - 762696 0700 11 -102 0761 441,7,1961,29942,main,377U,7,2,415064,main,80bn,9,4,195113.441,384996.784,12.918,195004,384694,5.291,-7.627,-7.62696,4.00E-05,322,700,378,979203.1875,979203.625,979203.7352,979203.8493,-1.06E-06,-7.626958939
1572,80bn,81bn,-3.45695,400,7,0.19,761,441,K49F-81BN.01.csv,other,80BN 81BN - 345695 0400 7 019 0761 441,7,1961,415064,main,80bn,9,4,415065,main,81bn,9,4,195004,384694,5.291,194650,384194,1.83,-3.461,-3.45695,0.00405,613,400,213,979203.625,979204.625,979203.8493,979204.7026,-3.10E-06,-3.456946896
1573,3MR,81bn,-1.75240,15,1,-0.15,761,441,K49F-81BN.01.csv,other,3MR 81BN - 175240 0015 1 -015 0761 441,7,1961,415062,main,3MR,9,3,415065,main,81bn,9,4,194600,384200,3.552,194650,384194,1.83,-1.722,-1.7524,0.0304,50,15,35,979204.625,979204.625,979204.7756,979204.7026,2.00E-07,-1.7524002
342,4187MPI,164U,2.51302,1889,34,0,517,965.raw,3707,external,4187MPI 164U 2.51302 1889. 34 0.00 0517 965.raw,5,2017,542545,main,4187MPI,2,99,29946,main,164U,7,99,180838,419655,628.516,180389.658,421378.652,631.029,2.513,2.51302,2.00E-05,1781,1889,108,979139.3125,979141.875,979165.9616,979168.6306,-0.001716655,2.514736655
343,164U,166U,-19.66106,3468,70,1.5,517,965.raw,3707,external,164U 166U -19.66106 3468. 70 1.50 0517 965.raw,5,2017,29946,main,164U,7,99,29948,main,166U,7,99,180389.658,421378.652,631.029,179308.328,424511.917,611.368,-19.661,-19.66106,6.00E-05,3315,3468,153,979141.875,979148.75,979168.6306,979174.672,-0.003832709,-19.65722729
344,HARI,221U,-28.07772,2493,40,0.75,517,965.raw,3707,external,HARI 221U -28.07772 2493. 40 0.75 0517 965.raw,5,2017,446803,main,HARI,5,3,29865,main,221U,7,3,156882.261,491079.304,973.137,155459.938,492134.722,945.059,-28.078,-28.07772,0.00028,1771,2493,722,979136.625,979141.0625,979177.886,979181.133,-0.003180397,-28.0745396
