num,A,B,dH,dist,n,diff,date,calc_file,text_file,group,Original,month,year,codeA,typeA,nameA,groupA,rankA,codeB,typeB,nameB,groupB,rankB,Y1,X1,H1,Y2,X2,H2,dH_from_DB,dH_from_file,dH_diff,dist_from_DB,dist_from_file,dist_diff,gA,gB,gG_A,gG_B,OC,dHO
1214,1758b,1757b,15.14663,495,18,-0.72,222,1002.raw,3786_D_Emek_Hefer,MAPI,1758b 1757b 15.14663 495. 18 -0.72 0222 1002.raw,2,2022,414202,main,1758b,9,3,414201,main,1757b,9,3,191737.7,698317.8,19.609,191740,698794.4,34.755,15.146,15.14663,0.00063,477,495,18,979542.1875,979542.8125,979543.0189,979544.2861,-3.52E-05,15.14666516
1215,1757b,1756b,-4.16421,901,30,-2.4,222,1002.raw,3786_D_Emek_Hefer,MAPI,1757b 1756b -4.16421 901. 30 -2.40 0222 1002.raw,2,2022,414201,main,1757b,9,3,414200,main,1756b,9,3,191740,698794.4,34.755,191863,699524.2,30.591,-4.164,-4.16421,0.00021,740,901,161,979542.8125,979543.0625,979544.2861,979544.3596,-2.45E-06,-4.16420755
1216,1756b,1736b,5.37853,969,30,-2.61,822,1002.raw,3786_D_Emek_Hefer,MAPI,1756b 1736b 5.37853 969. 30 -2.61 0822 1002.raw,8,2022,414200,main,1756b,9,3,414235,main,1736b,9,2,191863,699524.2,30.591,191999,700374,35.97,5.379,5.37853,0.00047,861,969,108,979543.0625,979542.9375,979544.3596,979544.4626,-3.50E-06,5.378533502
1217,1736b,1046U,4.8844,605,21,-0.08,1022,1002.raw,3786_D_Emek_Hefer,MAPI,1736b 1046U 4.88440 605. 21 -0.08 1022 1002.raw,10,2022,414235,main,1736b,9,2,566073,main,1046U,7,3,191999,700374,35.97,192129,700875,40.854,4.884,4.8844,0.0004,518,605,87,979542.9375,979543.0625,979544.4626,979544.7947,-1.30E-05,4.884413022
1218,1046U,1785b,-1.52231,1965,53,-2.49,1122,1002.raw,3786_D_Emek_Hefer,MAPI,1046U 1785b -1.52231 1965. 53 -2.49 1122 1002.raw,11,2022,566073,main,1046U,7,3,414154,main,1785b,9,3,192129,700875,40.854,193027,701938,39.333,-1.521,-1.52231,0.00131,1392,1965,573,979543.0625,979543.75,979544.7947,979545.4177,-2.55E-05,-1.5222845
1219,1785b,1784b,-5.06081,387,12,0.07,1122,1002.raw,3786_D_Emek_Hefer,MAPI,1785b 1784b -5.06081 387. 12 0.07 1122 1002.raw,11,2022,414154,main,1785b,9,3,414153,main,1784b,9,3,193027,701938,39.333,193206,701728,34.273,-5.06,-5.06081,0.00081,276,387,111,979543.75,979543.6875,979545.4177,979545.1407,1.04E-05,-5.060820409
1220,1784b,1783b,-1.01601,695,15,3.75,1122,1002.raw,3786_D_Emek_Hefer,MAPI,1784b 1783b -1.01601 695. 15 3.75 1122 1002.raw,11,2022,414153,main,1784b,9,3,414152,main,1783b,9,3,193206,701728,34.273,193214,701072,33.257,-1.016,-1.01601,1.00E-05,656,695,39,979543.6875,979543.0625,979545.1407,979544.4726,2.30E-05,-1.016033029
1221,1783b,1734b,-1.39112,805,25,-0.92,1122,1002.raw,3786_D_Emek_Hefer,MAPI,1783b 1734b -1.39112 805. 25 -0.92 1122 1002.raw,11,2022,414152,main,1783b,9,3,414233,main,1734b,9,3,193214,701072,33.257,193071,700719,31.866,-1.391,-1.39112,0.00012,381,805,424,979543.0625,979542.8125,979544.4726,979544.1636,1.03E-05,-1.391130271
1222,1734b,4871MPI,-18.79445,606,23,0.14,1122,1002.raw,3786_D_Emek_Hefer,MAPI,1734b 4871MPI -18.79445 606. 23 0.14 1122 1002.raw,11,2022,414233,main,1734b,9,3,565881,main,4871MPI,2,2,193071,700719,31.866,193343,700347,13.072,-18.794,-18.79445,0.00045,461,606,145,979542.8125,979542.6875,979544.1636,979543.2418,2.11E-05,-18.79447115
1223,4871MPI,1750b,5.42416,426,11,-0.04,222,1002.raw,3786_D_Emek_Hefer,MAPI,4871MPI 1750b 5.42416 426. 11 -0.04 0222 1002.raw,2,2022,565881,main,4871MPI,2,2,414194,main,1750b,9,3,193343,700347,13.072,193576.2,700411,18.496,5.424,5.42416,0.00016,242,426,184,979542.6875,979542.625,979543.2418,979543.4092,-2.70E-06,5.424162699
