Code,H,HRank
635,26.059,1
674,41.687,1
889,29.416,1
2311,219.217,1
16472,54.482,1
20812,-205.76,1
20834,473.935,1
21495,-101.687,1
22109,12.311,1
22117,28.694,1
25937,851.372,1
26098,274.102,1
26107,478.138,1
26110,711.94,1
26111,752.248,1
26113,746.899,1
26114,498.744,1
26117,491.881,1
26120,298.031,1
26123,-204.11,1
26128,84.315,1
26131,231.522,1
26133,-190.753,1
26134,-167.669,1
26140,-199.747,1
26141,-222.696,1
26142,-216.507,1
26148,86.078,1
26150,64.69,1
26156,185.721,1
26157,-172.468,1
26228,248.462,1
26240,673.515,1
26241,740.247,1
26244,-204.88,1
26246,77.004,1
26256,193.602,1
26314,83.42,1
26319,236.706,1
26356,103.519,1
29675,310.407,1
29692,83.434,1
29694,126.872,1
29695,445.131,1
29696,361.247,1
29697,180.941,1
29700,214.512,1
29701,744.68,1
29702,621.24,1
29988,199.891,1
30002,27.949,1
30014,16.421,1
30023,116.876,1
30026,89.54,1
30027,68.739,1
30028,51.577,1
30029,61.342,1
30032,2.972,1
30033,84.972,1
30043,249.442,1
30044,224.272,1
30055,33.99,1
30056,39.456,1
30059,46.597,1
30062,17.596,1
30064,36.71,1
30075,27.976,1
30078,34.862,1
30179,50.221,1
30202,145.38,1
30204,189.928,1
30216,111.827,1
30217,69.877,1
30398,16.969,1
245339,313.707,1
409281,43.763,1
409282,23.296,1
409283,83.502,1
409284,29.227,1
409285,53.105,1
409286,49.97,1
409287,39.689,1
409288,31.555,1
409289,17.355,1
409290,30.848,1
409291,8.145,1
409292,8.205,1
409293,55.255,1
409294,351.065,1
409295,42.759,1
409296,81.963,1
409297,71.115,1
409298,97.42,1
409299,19.591,1
409300,11.899,1
409301,142.053,1
409302,197.231,1
409303,4.233,1
409304,174.164,1
409305,130.068,1
409306,64.381,1
409307,32.601,1
409309,16.976,1
409310,30.015,1
409311,38.98,1
409312,50.853,1
409314,19.35,1
409315,17.517,1
409317,25.992,1
409318,35.541,1
409319,17.57,1
409320,652.569,1
409321,17.007,1
409322,19.744,1
409323,723.736,1
409324,19.244,1
409325,22.945,1
409326,21.429,1
409327,76.333,1
409328,76.274,1
409329,54.829,1
409330,80.87,1
409331,76.861,1
409332,84.356,1
409333,88.188,1
409334,284.432,1
409335,83.445,1
409336,178.46,1
409337,169.307,1
409338,38.745,1
409339,38.439,1
409341,109.697,1
409342,46.836,1
409344,169.419,1
409345,328.03,1
409346,208.42,1
409347,68.744,1
409348,57.789,1
409349,86.555,1
409350,32.95,1
409351,18.728,1
409352,46.027,1
409353,50.594,1
409354,31.739,1
409355,34.317,1
409356,20.254,1
409357,650.242,1
409358,28.564,1
409359,74.169,1
409360,716.609,1
409361,40.929,1
409362,29.085,1
409363,65.827,1
409364,56.881,1
409367,18.65,1
409369,58.839,1
409370,52.412,1
409371,109.261,1
409374,272.283,1
409375,260.479,1
409376,64.795,1
409377,68.932,1
409378,52.659,1
409379,221.599,1
409380,209.558,1
409381,200.668,1
409382,211.73,1
409383,32.294,1
409384,34.039,1
409386,34.912,1
409387,18.928,1
409388,119.737,1
409389,104.175,1
409391,44.175,1
409392,45.635,1
409393,31.834,1
409394,55.234,1
409396,141.626,1
409397,83.907,1
409398,89.845,1
409399,93.653,1
409400,153.06,1
409403,17.114,1
409404,19.396,1
409405,19.476,1
409406,16.47,1
409407,21.668,1
409408,242.935,1
409409,254.161,1
409410,289.623,1
409411,308.684,1
409412,308.07,1
409414,212.582,1
409415,204.446,1
409417,15.53,1
409418,29.621,1
409420,26.806,1
409421,29.445,1
409422,39.439,1
409423,88.835,1
409424,78.968,1
409425,91.384,1
409426,101.995,1
409427,121.657,1
409428,159.884,1
409429,177.357,1
409430,187.808,1
409431,-198.249,1
409432,31.431,1
409433,-195.563,1
409434,-94.516,1
409435,105.077,1
409436,788.395,1
409437,291.245,1
409438,186.841,1
409439,236.561,1
409440,72.791,1
409441,187.912,1
409443,202.66,1
409445,41.659,1
409446,61.251,1
409448,20.059,1
409450,25.639,1
409451,19.472,1
409452,100.043,1
409454,866.415,1
409455,669.72,1
409456,604.348,1
409457,327.537,1
409458,132.015,1
409459,124.318,1
409460,116.594,1
409461,127.121,1
409462,129.789,1
409463,142.791,1
409464,28.858,1
409465,715.013,1
409466,689.128,1
409468,92.591,1
409469,48.17,1
409471,41.36,1
409472,43.409,1
409474,34.996,1
409475,58.677,1
409476,90.641,1
409477,35.516,1
409478,50.503,1
409479,64.002,1
409480,52.529,1
409481,70.275,1
409482,66.892,1
409483,56.705,1
409484,76.639,1
409485,108.626,1
409486,94.167,1
409487,32.282,1
409489,44.823,1
409490,32.157,1
409491,272.827,1
409492,223.785,1
409493,94.454,1
409494,156.215,1
409495,25.008,1
409496,21.79,1
409498,92.64,1
409500,38.546,1
409501,44.274,1
409502,47.916,1
409503,155.04,1
409504,129.94,1
409505,139.248,1
409506,305.351,1
409507,28.122,1
409508,5.607,1
409509,10.941,1
409510,10.2,1
409511,10.291,1
409512,82.947,1
409513,337.241,1
409516,-198.996,1
409517,10.715,1
409518,13.053,1
409519,35.732,1
409520,72.944,1
409521,187.379,1
409522,60.935,1
409523,48.816,1
409524,37.726,1
409525,26.627,1
409526,34.75,1
409527,21.224,1
409528,49.23,1
409529,226.238,1
409530,115.901,1
409531,94.442,1
409532,22.18,1
409533,19.007,1
409534,49.926,1
409535,24.124,1
409536,25.041,1
409537,23.071,1
409538,25.819,1
409539,253.614,1
409540,81.314,1
409541,223.5,1
409542,249.99,1
409543,264.848,1
409544,267.08,1
409546,35.14,1
409547,21.547,1
409548,429.493,1
409549,226.151,1
409550,188.323,1
409551,32.929,1
409552,18.145,1
409553,87.421,1
409554,50.516,1
409555,83.576,1
409556,122.189,1
409557,115.76,1
409559,23.723,1
409560,27.004,1
409562,-163.768,1
409563,-199.095,1
409564,-203.408,1
409565,-174.906,1
409566,-172.102,1
409567,-193.86,1
409568,-181.982,1
409569,223.438,1
409570,177.162,1
409571,136.902,1
409572,116.298,1
409573,138.839,1
409574,138.224,1
409575,148.659,1
409576,64.231,1
409577,17.436,1
409578,15.914,1
409579,13.315,1
409580,41.491,1
409581,46.805,1
409582,29.192,1
409583,30.673,1
409584,44.32,1
409585,36.823,1
409586,50.757,1
409587,110.747,1
409588,177.206,1
409589,187.195,1
409590,146.749,1
409591,123.267,1
409592,34.121,1
409593,24.743,1
409594,14.986,1
409595,9.209,1
409596,12.434,1
409597,10.959,1
409598,57.382,1
409599,37.719,1
409600,25.813,1
409601,108.968,1
409602,68.072,1
409603,114.89,1
409604,13.707,1
409605,263.574,1
409607,235.813,1
409609,127.96,1
409610,46.697,1
409612,70.789,1
409613,53.243,1
409614,23.082,1
409615,62.224,1
409616,54.559,1
409617,15.262,1
409619,19.889,1
409620,76.472,1
409621,121.538,1
409622,158.986,1
409623,217.808,1
409624,227.853,1
409625,164.046,1
409626,233.087,1
409627,201.56,1
409628,-46.094,1
409629,-85.523,1
409630,-95.791,1
409631,-12.713,1
409632,1.698,1
409633,21.362,1
409634,37.949,1
409635,61.014,1
409636,14.594,1
409637,56.245,1
409638,4.499,1
409639,5.242,1
409640,19.858,1
409641,286.305,1
409642,89.313,1
409643,169.498,1
409644,149.217,1
409645,201.476,1
409647,8.228,1
409648,8.363,1
409649,10.918,1
409650,60.429,1
409651,94.324,1
409652,132.91,1
409653,133.316,1
409654,380.348,1
409655,4.899,1
409656,13.803,1
409657,8.533,1
409658,-206.121,1
409659,42.367,1
